転職元;転職先
サムライファクトリー;？
クオニ・グループトラベル・エクスパーツ;フリーランス
手嶋屋;VOYAGE GROUP
Rod-Side;？
トリニティアーツ;？
ホテルシティプラザ北上;？
ローソン;？
SABATO;？
ミクシィ;フリーランス
アジャイルメディア・ネットワーク;フリーランス
オプティム;ゲヒルン
マイクロソフト;？
はてな;Fablic
博報堂;フリーランス
GREE;？
オオゼキ;？
エポックハウス;起業
ソララ;KDDIウェブコミュニケーションズ
ルゼル;？
？;？
芸者東京エンターテインメント;freee株式会社
リンク;？
web creation;？
ミクシィ;Treasure Data
アンドエム;？
ビープラウド;きざしカンパニー
カヤック;Sumally
gooya;？
IBM;Salesforce.com
アリエル・ネットワーク;キヤノンITソリューションズ
オルトプラス;？
ミクシィ;？
アドウェイズ;起業
？;DMM.comラボ
カヤック;？
カヤック;Nota
Aiming;paperboy&co.
日本コンピューター;マインドパレット
ヤフー;？
ミクシィ;？
万葉;spice life
ノボット;？
ジモティー;？
WebPay;？
クックパッド;起業
アイジェット;フリーランス
デンソー;？
GREE;Fiksu
Aiming;Quipper
GREE;Cambridge Energy Data Lab
カヤック;カルチャー
みずほ証券;？
TIS;リクルートテクノロジーズ
パンカク;？
キャリアデザインセンター;スクー
デジタルガレージ;？
エスプランニング;クラスメソッド
ゼロスタート;ゲヒルン
レッドフォックス;サイバーエージェント
パーフェクトミュージック;？
村式;？
オプティム;？
AOLオンライン・ジャパン;B Dash Ventures
？;？
リクルート;KAIZEN platform
ミクシィ;？
トゥギャッター;？
ワークスアプリケーションズ;時雨堂
ビットセラー;？
DeNA;？
サイバーエージェント;リクルートコミュニケーションズ
GREE;？
楽天;？
コスモルート;？
日本アルゴリズム;？
国立高等専門学校機構;まだ無職
エクストーン;サイバーエージェント
GREE;フリークアウト
東京都;フリーランス
INDOOR;？
ドワンゴモバイル;ビープラウド
DeNA;スマートエデュケーション
シャノン;DeNA
サムライファクトリー;DMM.comラボ
LINE;？
はてな;？
ヤフー;DeNA
ノバレーゼ;？
paperboy&co.;Quipper
はてな;？
paperboy&co.;Quipper
技術評論社;ミクシィ・リクルートメント
リクルート・ホールディングス;ヤフー
ヤフー;？
マイニングブラウニー;？
鈴与シンワート;ナビプラス
ハイベロシティ;サイクス
？;グラニ
情報通信総合研究所;起業
エクスクウェイド;ピクセルグリッド
セラク;永和システムマネジメント
NHK;起業
ディアイスクエア;フリーランス
ミクシィ;クロコス
paperboy&co.;？
タイムインターメディア;？
Baidu;？
デジタルガレージ;トイロ
LIG;ドワンゴモバイル
ヤフー;？
農林水産省;？
Kauli;？
？;？
zigsow;ACCESS
VOYAGE GROUP;起業
LOD;？
ドワンゴ;GREE
BrainPad;Treasure Data
ギフティ;？
ONIGIRI;起業
kamado;ミクシィ
三菱東京UFJ銀行;？
トップゲート;ユニティ・テクノロジーズ・ジャパン
ピープパポ;？
 ミクシィ;？
バタフライ;LINE
GREE;zigsaw
kamado;Increments
